run,system_bytes,system_throughput_bps,system_throughput_mbps
Scenario1-0-20250720-17:24:01-736834,31414658.0,4569404.8,4.5694048
Scenario1-10-20250720-17:24:03-736898,31332056.0,4557389.963636364,4.557389963636364
Scenario1-11-20250720-17:24:03-736899,31267871.0,4548053.963636364,4.548053963636364
Scenario1-12-20250720-17:24:03-736910,31273106.0,4548815.418181818,4.548815418181818
Scenario1-13-20250720-17:24:03-736911,31295717.0,4552104.290909091,4.552104290909091
Scenario1-14-20250720-17:24:04-736922,31410589.0,4568812.945454545,4.568812945454545
Scenario1-15-20250720-17:24:04-736923,31405515.0,4568074.909090909,4.568074909090909
Scenario1-16-20250720-17:24:05-736932,31278710.0,4549630.545454546,4.549630545454546
Scenario1-17-20250720-17:24:05-736937,31397855.0,4566960.7272727275,4.566960727272727
Scenario1-18-20250720-17:24:05-736938,31424529.0,4570840.581818182,4.570840581818182
Scenario1-19-20250720-17:24:05-736940,31423618.0,4570708.072727272,4.570708072727272
Scenario1-1-20250720-17:24:01-736835,31351428.0,4560207.709090909,4.560207709090909
Scenario1-20-20250720-17:24:06-736952,31439564.0,4573027.490909091,4.573027490909091
Scenario1-21-20250720-17:24:06-736953,31390293.0,4565860.8,4.565860799999999
Scenario1-22-20250720-17:24:06-736966,31384622.0,4565035.927272728,4.565035927272728
Scenario1-23-20250720-17:24:06-736965,31394189.0,4566427.490909091,4.566427490909091
Scenario1-24-20250720-17:24:07-736975,31361700.0,4561701.818181818,4.5617018181818185
Scenario1-25-20250720-17:24:07-736980,31339950.0,4558538.181818182,4.558538181818181
Scenario1-26-20250720-17:24:08-736985,31362647.0,4561839.5636363635,4.561839563636363
Scenario1-27-20250720-17:24:08-736991,31340612.0,4558634.472727273,4.558634472727273
Scenario1-28-20250720-17:24:08-736990,31370430.0,4562971.636363637,4.562971636363637
Scenario1-29-20250720-17:24:08-737000,31372027.0,4563203.927272728,4.563203927272728
Scenario1-2-20250720-17:24:01-736836,31426142.0,4571075.2,4.5710752
Scenario1-30-20250720-17:24:08-737005,31324233.0,4556252.072727272,4.556252072727272
Scenario1-31-20250720-17:24:08-737009,31279704.0,4549775.127272727,4.549775127272727
Scenario1-32-20250720-17:24:09-737016,31363053.0,4561898.618181818,4.561898618181818
Scenario1-33-20250720-17:24:09-737021,31327286.0,4556696.1454545455,4.556696145454546
Scenario1-34-20250720-17:24:09-737026,31316113.0,4555070.981818181,4.555070981818181
Scenario1-3-20250720-17:24:01-736837,31306323.0,4553646.981818181,4.553646981818181
Scenario1-4-20250720-17:24:01-736838,31380475.0,4564432.7272727275,4.564432727272727
Scenario1-5-20250720-17:24:01-736839,31334822.0,4557792.290909091,4.557792290909091
Scenario1-6-20250720-17:24:02-736875,31375292.0,4563678.836363636,4.563678836363636
Scenario1-7-20250720-17:24:02-736876,31371429.0,4563116.945454545,4.563116945454546
Scenario1-8-20250720-17:24:02-736877,31357861.0,4561143.418181818,4.561143418181818
Scenario1-9-20250720-17:24:02-736879,31377547.0,4564006.836363636,4.564006836363636
Scenario1-35-20250720-17:24:10-737031,35602525.0,5178549.090909091,5.178549090909091
Scenario1-45-20250720-17:24:13-737084,35528815.0,5167827.636363637,5.167827636363636
Scenario1-46-20250720-17:24:13-737091,35449465.0,5156285.818181818,5.156285818181819
Scenario1-47-20250720-17:24:13-737090,35432617.0,5153835.2,5.1538352000000005
Scenario1-48-20250720-17:24:14-737105,35454268.0,5156984.4363636365,5.156984436363636
Scenario1-49-20250720-17:24:15-737110,35585869.0,5176126.4,5.1761264
Scenario1-50-20250720-17:24:15-737115,35563049.0,5172807.127272727,5.172807127272727
Scenario1-51-20250720-17:24:15-737116,35425249.0,5152763.490909091,5.152763490909091
Scenario1-52-20250720-17:24:16-737142,35569565.0,5173754.909090909,5.173754909090909
Scenario1-53-20250720-17:24:17-737152,35602034.0,5178477.672727273,5.178477672727273
Scenario1-54-20250720-17:24:17-737191,35607600.0,5179287.2727272725,5.179287272727272
Scenario1-36-20250720-17:24:10-737036,35533023.0,5168439.709090909,5.168439709090909
Scenario1-55-20250720-17:24:17-737196,35626013.0,5181965.527272727,5.181965527272728
Scenario1-56-20250720-17:24:18-737214,35576571.0,5174773.963636364,5.174773963636364
Scenario1-57-20250720-17:24:19-737220,35568923.0,5173661.527272727,5.173661527272728
Scenario1-58-20250720-17:24:19-737225,35582279.0,5175604.218181818,5.175604218181817
Scenario1-59-20250720-17:24:19-737226,35529912.0,5167987.2,5.1679872
Scenario1-60-20250720-17:24:21-737235,35517151.0,5166131.054545455,5.166131054545454
