run,mean_scheduled_users,stddev_scheduled_users,min_scheduled_users,max_scheduled_users
Scenario2-35-20250720-17:28:47-739265,5.5266813330667,1.630321190573,0.0,10.0
Scenario2-45-20250720-17:28:50-739316,5.5158088034763,1.622548524252,0.0,10.0
Scenario2-46-20250720-17:28:50-739321,5.5284994818276,1.6176052842634,0.0,10.0
Scenario2-47-20250720-17:28:50-739322,5.5257722586862,1.6324533562782,0.0,10.0
Scenario2-48-20250720-17:28:50-739331,5.5307539862912,1.6238351328774,1.0,10.0
Scenario2-49-20250720-17:28:50-739336,5.5225359538917,1.6269341869974,1.0,10.0
Scenario2-50-20250720-17:28:50-739337,5.5308630752168,1.6274121114648,1.0,10.0
Scenario2-51-20250720-17:28:51-739349,5.5227904947183,1.6240671846541,0.0,10.0
Scenario2-52-20250720-17:28:51-739354,5.5181905783531,1.6246960573169,0.0,10.0
Scenario2-53-20250720-17:28:51-739356,5.5001545426447,1.6326456425991,0.0,10.0
Scenario2-54-20250720-17:28:51-739364,5.5044999181833,1.6265699340539,1.0,10.0
Scenario2-36-20250720-17:28:47-739270,5.510936164797,1.6345345286649,0.0,10.0
Scenario2-55-20250720-17:28:52-739369,5.5034817548772,1.6336105202,1.0,10.0
Scenario2-56-20250720-17:28:52-739374,5.5152815403356,1.6257440582719,1.0,10.0
Scenario2-57-20250720-17:28:52-739379,5.5293721932329,1.6154976673224,0.0,10.0
Scenario2-58-20250720-17:28:52-739380,5.5227177687678,1.626115640235,0.0,10.0
Scenario2-59-20250720-17:28:52-739381,5.5190996527336,1.6273915873111,0.0,10.0
Scenario2-60-20250720-17:28:53-739394,5.5094998272759,1.6289722713207,1.0,10.0
Scenario2-61-20250720-17:28:53-739400,5.5138270213269,1.6216250802557,1.0,10.0
Scenario2-62-20250720-17:28:54-739409,5.5225177724041,1.6233655373882,0.0,10.0
Scenario2-63-20250720-17:28:54-739410,5.5355357175324,1.6236703395819,0.0,10.0
Scenario2-64-20250720-17:28:54-739419,5.5232632133961,1.6253026835217,1.0,10.0
Scenario2-37-20250720-17:28:47-739275,5.5181905783531,1.6287309634769,0.0,10.0
Scenario2-65-20250720-17:28:54-739425,5.5258995290995,1.6189747379735,1.0,10.0
Scenario2-66-20250720-17:28:54-739430,5.5138088398393,1.6361915990614,0.0,10.0
Scenario2-67-20250720-17:28:55-739435,5.5215541535608,1.6175778612759,1.0,10.0
Scenario2-68-20250720-17:28:55-739440,5.5325357720769,1.6163372017444,0.0,10.0
Scenario2-69-20250720-17:28:55-739445,5.5418083307576,1.6225799419635,1.0,10.0
Scenario2-38-20250720-17:28:48-739280,5.5272085962073,1.6354122768268,0.0,10.0
Scenario2-39-20250720-17:28:48-739285,5.5236450246359,1.6184026897781,0.0,10.0
Scenario2-40-20250720-17:28:48-739286,5.5213905201724,1.6253507820161,1.0,10.0
Scenario2-41-20250720-17:28:48-739295,5.5344993727387,1.6266909380716,1.0,10.0
Scenario2-42-20250720-17:28:49-739300,5.5135179360375,1.6350045838944,1.0,10.0
Scenario2-43-20250720-17:28:49-739306,5.5356629879457,1.6191260103084,0.0,10.0
Scenario2-44-20250720-17:28:49-739307,5.5327539499282,1.6244565175591,1.0,10.0
Scenario2-70-20250720-17:28:55-739448,3.8213123397756,1.5357074631187,1.0,9.0
Scenario2-80-20250720-17:28:58-739503,3.8292576498609,1.533691675722,1.0,9.0
Scenario2-81-20250720-17:28:59-739509,3.8294031017618,1.5386433770981,1.0,9.0
Scenario2-82-20250720-17:28:59-739514,3.8222395956437,1.5359512097282,1.0,9.0
Scenario2-83-20250720-17:29:00-739519,3.8369120561444,1.535525383252,1.0,9.0
Scenario2-84-20250720-17:29:00-739524,3.8057489863821,1.5344920519982,1.0,9.0
Scenario2-85-20250720-17:29:01-739532,3.8083307576226,1.5366399166946,1.0,9.0
Scenario2-86-20250720-17:29:01-739533,3.8292031053981,1.5395721600031,1.0,9.0
Scenario2-87-20250720-17:29:02-739542,3.8204214468828,1.5305810104833,1.0,9.0
Scenario2-88-20250720-17:29:02-739547,3.8220577807676,1.5318644581648,1.0,9.0
Scenario2-89-20250720-17:29:03-739552,3.8168942382866,1.529592589095,1.0,9.0
Scenario2-71-20250720-17:28:55-739455,3.8274758640752,1.5377073753671,1.0,9.0
Scenario2-90-20250720-17:29:03-739557,3.8136761149797,1.5365519417089,1.0,9.0
Scenario2-91-20250720-17:29:04-739563,3.8126215886984,1.5341617675349,1.0,9.0
Scenario2-92-20250720-17:29:05-739569,3.8321666878784,1.5439131552108,1.0,9.0
Scenario2-93-20250720-17:29:05-739579,3.8137306594426,1.5307673097086,1.0,10.0
Scenario2-94-20250720-17:29:05-739584,3.8131852148143,1.53440233009,1.0,9.0
Scenario2-95-20250720-17:29:06-739592,3.820785076635,1.5342068042441,1.0,9.0
Scenario2-96-20250720-17:29:07-739597,3.8251849966364,1.5308711349048,1.0,9.0
Scenario2-97-20250720-17:29:07-739602,3.8242577407683,1.5332513007703,1.0,9.0
Scenario2-98-20250720-17:29:07-739603,3.8272031417611,1.5346882340148,1.0,9.0
Scenario2-99-20250720-17:29:08-739612,3.8195487354775,1.5348083753628,1.0,9.0
Scenario2-72-20250720-17:28:55-739456,3.8147670042363,1.5340667654023,1.0,10.0
Scenario2-100-20250720-17:29:09-739617,3.8211487063872,1.5388167817263,1.0,9.0
Scenario2-101-20250720-17:29:10-739623,3.8222577771313,1.5354264555919,1.0,9.0
Scenario2-102-20250720-17:29:09-739624,3.8156215341539,1.5345429759547,1.0,9.0
Scenario2-103-20250720-17:29:10-739633,3.8270758713478,1.5386908166738,1.0,9.0
Scenario2-104-20250720-17:29:10-739638,3.8428210396175,1.5344183848523,1.0,9.0
Scenario2-73-20250720-17:28:56-739468,3.82660315267,1.5356095281798,1.0,9.0
Scenario2-74-20250720-17:28:56-739473,3.8227123143216,1.5260422237513,1.0,9.0
Scenario2-75-20250720-17:28:57-739478,3.8211487063872,1.5341188754741,1.0,9.0
Scenario2-76-20250720-17:28:57-739483,3.8259304376284,1.5361312562873,1.0,9.0
Scenario2-77-20250720-17:28:57-739484,3.8304030835803,1.5372821351252,1.0,10.0
Scenario2-78-20250720-17:28:57-739493,3.8155306267159,1.5273052545915,1.0,9.0
Scenario2-79-20250720-17:28:58-739498,3.8310576171342,1.5367035993759,1.0,10.0
Scenario2-105-20250720-17:29:11-739646,3.1723968655115,1.2330548385742,1.0,8.0
Scenario2-115-20250720-17:29:15-739702,3.1702696314612,1.2295337246391,1.0,8.0
Scenario2-116-20250720-17:29:16-739707,3.1701969055108,1.2336331174625,1.0,8.0
Scenario2-117-20250720-17:29:17-739715,3.169396920056,1.2376130170309,1.0,8.0
Scenario2-118-20250720-17:29:17-739720,3.1806148979109,1.2404967597638,1.0,9.0
Scenario2-119-20250720-17:29:18-739725,3.163997018236,1.2323425357314,1.0,9.0
Scenario2-120-20250720-17:29:18-739730,3.1681969418738,1.2276437896951,1.0,8.0
Scenario2-121-20250720-17:29:19-739736,3.1692332866675,1.2322394732408,1.0,8.0
Scenario2-122-20250720-17:29:20-739741,3.1660515263359,1.2326058974235,1.0,9.0
Scenario2-123-20250720-17:29:20-739746,3.1672878674933,1.2320698351753,1.0,8.0
Scenario2-124-20250720-17:29:21-739754,3.1631970327812,1.2322274246535,1.0,8.0
