Run,Config,Repetition,Warmup (s),Warmup Value (s),SimTime (s),Sys Throughput (Mbps),RB Utilization,Avg User Throughput (kbps),Avg Queue Length
WarmupDetection500Binomial-0-20250715-19:32:44-321980,WarmupDetection500Binomial,0,0.9489814186055999,0.0020,10.100000000000001,1.52,4.793,0.39,0.70
WarmupDetection500Binomial-1-20250715-19:32:44-321985,WarmupDetection500Binomial,1,0.9934145680752,0.0020,10.100000000000001,1.52,4.836,0.39,0.69
WarmupDetection500Binomial-2-20250715-19:32:44-321983,WarmupDetection500Binomial,2,1.5060943750392,0.0020,10.100000000000001,1.52,4.795,0.39,0.70
WarmupDetection500Binomial-3-20250715-19:32:44-321984,WarmupDetection500Binomial,3,1.0724955699048,0.0020,10.100000000000001,1.52,4.864,0.38,0.70
WarmupDetection500Binomial-4-20250715-19:32:44-321981,WarmupDetection500Binomial,4,0.802669142136,0.0020,10.100000000000001,1.51,4.806,0.39,0.70
WarmupDetection500Binomial-5-20250715-19:32:44-321982,WarmupDetection500Binomial,5,0.9748553288028,0.0020,10.100000000000001,1.52,4.835,0.39,0.69
WarmupDetection500Binomial-6-20250715-19:32:44-321987,WarmupDetection500Binomial,6,1.2792830445396,0.0020,10.100000000000001,1.51,4.812,0.38,0.70
WarmupDetection500Binomial-7-20250715-19:32:44-321986,WarmupDetection500Binomial,7,0.8407593243792,0.0020,10.100000000000001,1.51,4.834,0.38,0.70
WarmupDetection500Binomial-8-20250715-19:32:46-322065,WarmupDetection500Binomial,8,0.7283938976328,0.0020,10.100000000000001,1.51,4.819,0.38,0.70
WarmupDetection500Binomial-9-20250715-19:32:46-322070,WarmupDetection500Binomial,9,0.8506231289171999,0.0019,10.100000000000001,1.52,4.868,0.39,0.70
