Run,Config,Repetition,Warmup (s),Warmup Value (s),SimTime (s),Sys Throughput (Mbps),RB Utilization,Avg User Throughput (kbps),Avg Queue Length
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,0.0527211899244,0.000110,64.10000000000001,8.400,24.997,4.746,363388.829
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,0.055189698213599994,0.000114,64.10000000000001,8.380,24.997,4.727,361884.063
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,0.083671909716,0.000113,64.10000000000001,8.475,24.998,4.826,361170.340
WarmupDetection9000Uniform-3-20250715-19:48:29-326566,WarmupDetection9000Uniform,3,0.059583087209999996,0.000109,64.60000000000001,8.397,24.998,4.641,361417.374
WarmupDetection9000Uniform-4-20250715-19:48:50-326594,WarmupDetection9000Uniform,4,0.0445927301124,0.000108,64.60000000000001,8.430,24.998,4.714,361860.993
WarmupDetection9000Uniform-5-20250715-19:49:01-326609,WarmupDetection9000Uniform,5,0.05415862938,0.000111,64.10000000000001,8.416,24.998,4.703,362213.623
WarmupDetection9000Uniform-6-20250715-19:49:21-326639,WarmupDetection9000Uniform,6,0.07107128025,0.000109,64.10000000000001,8.414,24.999,4.727,362025.651
WarmupDetection9000Uniform-7-20250715-19:49:31-326650,WarmupDetection9000Uniform,7,0.0467088513612,0.000110,64.60000000000001,8.492,24.997,4.765,364154.606
WarmupDetection9000Uniform-8-20250715-19:49:57-326694,WarmupDetection9000Uniform,8,0.0404663276532,0.000111,64.10000000000001,8.375,24.998,4.682,362330.700
WarmupDetection9000Uniform-9-20250715-19:50:05-326707,WarmupDetection9000Uniform,9,0.0472568404956,0.000108,64.10000000000001,8.380,24.997,4.729,363955.183
