Run,Config,Repetition,Metric,Convergence_Time,Convergence_Value,Unit
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,inter_arrival_user_0,0.014289589474,0.00011094655447656252,s
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,inter_arrival_user_1,0.011531039671,9.302536101626014e-05,s
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,inter_arrival_user_2,0.033800140507,0.0001125904714026846,s
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,inter_arrival_user_3,0.027143863408,0.00010857081881200005,s
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,inter_arrival_user_4,0.022893890425,0.00011104508382038838,s
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,inter_arrival_user_5,0.017410959784,0.00010362072906024098,s
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,inter_arrival_user_6,0.01175665497,0.00011524642768316831,s
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,inter_arrival_user_7,0.015890514396,0.00011186594491549302,s
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,inter_arrival_user_8,0.043934324937,0.00012450463999142864,s
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,inter_arrival_user_9,0.011637649322,0.00011349041748039211,s
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,queue_length_user_0,64.10000000000001,363615.9726878613,packets
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,queue_length_user_1,64.10000000000001,363673.9979668132,packets
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,queue_length_user_2,64.10000000000001,366949.55806841736,packets
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,queue_length_user_3,64.10000000000001,366107.79281614115,packets
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,queue_length_user_4,64.10000000000001,367855.48498057754,packets
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,queue_length_user_5,64.10000000000001,364400.1930724946,packets
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,queue_length_user_6,62.6,354018.11034856073,packets
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,queue_length_user_7,63.800000000000004,363177.15579719516,packets
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,queue_length_user_8,63.6,361591.75834904227,packets
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,queue_length_user_9,63.7,362498.2688045424,packets
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,user_throughput_user_0,10.100000000000001,4.998393625050616,kbps
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,user_throughput_user_1,10.100000000000001,4.787281329796565,kbps
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,user_throughput_user_2,10.100000000000001,4.484487287095526,kbps
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,user_throughput_user_3,10.100000000000001,4.626428934947308,kbps
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,user_throughput_user_4,10.100000000000001,4.719038258068452,kbps
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,user_throughput_user_5,10.100000000000001,4.726538667498926,kbps
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,user_throughput_user_6,10.100000000000001,4.6706704885756185,kbps
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,user_throughput_user_7,10.100000000000001,4.764279099772865,kbps
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,user_throughput_user_8,10.100000000000001,4.959139649169898,kbps
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,user_throughput_user_9,10.100000000000001,4.72622766460891,kbps
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,system_throughput,10.100000000000001,8.399518497873236,Mbps
WarmupDetection9000Uniform-0-20250715-19:47:59-326519,WarmupDetection9000Uniform,0,rb_utilization,5.1000000000000005,24.996502249417247,unit
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,inter_arrival_user_0,0.021973032967,0.00010638272739805825,s
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,inter_arrival_user_1,0.044951812177,0.00012178382424119234,s
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,inter_arrival_user_2,0.017990924696,0.00010241802121264372,s
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,inter_arrival_user_3,0.017704399326,0.00012988687928676467,s
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,inter_arrival_user_4,0.012126086421,0.00011258128790566036,s
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,inter_arrival_user_5,0.01451395213,0.00011510391265079364,s
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,inter_arrival_user_6,0.021640238519,0.00011862506112087917,s
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,inter_arrival_user_7,0.011098054346,0.00010796759826732672,s
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,inter_arrival_user_8,0.045991415178,0.00010584898969354842,s
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,inter_arrival_user_9,0.013554991166,0.00011813410293859645,s
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,queue_length_user_0,63.0,356946.9028726742,packets
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,queue_length_user_1,63.7,361754.94080253335,packets
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,queue_length_user_2,62.7,356916.79849844583,packets
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,queue_length_user_3,63.400000000000006,360626.5059043978,packets
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,queue_length_user_4,63.900000000000006,367419.54178421525,packets
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,queue_length_user_5,63.2,359623.1858723309,packets
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,queue_length_user_6,64.10000000000001,364421.1343234565,packets
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,queue_length_user_7,63.800000000000004,364008.53724748833,packets
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,queue_length_user_8,64.10000000000001,364395.6561295073,packets
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,queue_length_user_9,63.900000000000006,362727.4260016839,packets
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,user_throughput_user_0,14.5,4.782908026726759,kbps
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,user_throughput_user_1,10.100000000000001,4.6935124463172135,kbps
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,user_throughput_user_2,10.100000000000001,4.754721675609783,kbps
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,user_throughput_user_3,10.100000000000001,4.7080164449645485,kbps
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,user_throughput_user_4,10.100000000000001,4.526670125431435,kbps
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,user_throughput_user_5,10.100000000000001,4.675875762192805,kbps
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,user_throughput_user_6,10.100000000000001,4.820034060654588,kbps
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,user_throughput_user_7,10.100000000000001,4.706323797347172,kbps
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,user_throughput_user_8,10.100000000000001,4.750481586114555,kbps
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,user_throughput_user_9,10.4,4.855239165157188,kbps
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,system_throughput,10.100000000000001,8.37954860901321,Mbps
WarmupDetection9000Uniform-1-20250715-19:47:59-326520,WarmupDetection9000Uniform,1,rb_utilization,5.1000000000000005,24.997193103008108,unit
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,inter_arrival_user_0,0.015437292433,0.00011632799971969699,s
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,inter_arrival_user_1,0.018920994941,0.00010981384892441858,s
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,inter_arrival_user_2,0.017822099895,0.00012712102499285715,s
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,inter_arrival_user_3,0.06972659143,0.00010715329689846146,s
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,inter_arrival_user_4,0.024570129137,0.00010958991647297298,s
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,inter_arrival_user_5,0.020704114319,0.00012762497723456783,s
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,inter_arrival_user_6,0.030966267015,0.00011166611800724643,s
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,inter_arrival_user_7,0.012079225821,0.00011879707157425743,s
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,inter_arrival_user_8,0.011396695685,9.326975006557374e-05,s
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,inter_arrival_user_9,0.025005575926,0.00010677711517521362,s
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,queue_length_user_0,64.10000000000001,363765.3986285251,packets
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,queue_length_user_1,62.900000000000006,358620.5208515762,packets
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,queue_length_user_2,64.10000000000001,362494.0549944149,packets
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,queue_length_user_3,63.400000000000006,358640.5949881061,packets
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,queue_length_user_4,63.2,357446.805206289,packets
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,queue_length_user_5,63.300000000000004,359941.6072643703,packets
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,queue_length_user_6,63.5,361926.29930698924,packets
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,queue_length_user_7,64.0,363848.0078023878,packets
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,queue_length_user_8,63.7,362935.0792428534,packets
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,queue_length_user_9,64.10000000000001,362085.03438689397,packets
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,user_throughput_user_0,10.100000000000001,4.815570703880047,kbps
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,user_throughput_user_1,12.8,4.743122615460719,kbps
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,user_throughput_user_2,10.100000000000001,4.646262654037654,kbps
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,user_throughput_user_3,10.100000000000001,4.9359824334778315,kbps
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,user_throughput_user_4,10.100000000000001,4.923453070524358,kbps
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,user_throughput_user_5,10.100000000000001,4.947609972496521,kbps
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,user_throughput_user_6,10.600000000000001,4.913831280040701,kbps
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,user_throughput_user_7,10.100000000000001,4.827501839719124,kbps
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,user_throughput_user_8,10.100000000000001,4.652742978747913,kbps
WarmupDetection9000Uniform-2-20250715-19:48:22-326556,WarmupDetection9000Uniform,2,user_throughput_user_9,10.100000000000001,4.855739273074827,kbps
